title,price,rating,In Stock?,link
Chase Me (Paris Nights #2),25.27,5,True,https://books.toscrape.com/chase-me-paris-nights-2_977/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True,https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Elephant Tree,23.82,5,True,https://books.toscrape.com/the-elephant-tree_968/index.html
Sophie's World,15.94,5,True,https://books.toscrape.com/sophies-world_966/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,https://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True,https://books.toscrape.com/princess-between-worlds-wide-awake-princess-5_919/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,https://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,True,https://books.toscrape.com/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
In the Country We Love: My Family Divided,22.0,4,True,https://books.toscrape.com/in-the-country-we-love-my-family-divided_901/index.html
The Secret (The Secret #1),27.37,4,True,https://books.toscrape.com/the-secret-the-secret-1_859/index.html
Something More Than This,16.24,4,True,https://books.toscrape.com/something-more-than-this_834/index.html
Redeeming Love,20.47,5,True,https://books.toscrape.com/redeeming-love_826/index.html
Poems That Make Grown Women Cry,14.19,4,True,https://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html
First and First (Five Boroughs #3),15.97,4,True,https://books.toscrape.com/first-and-first-five-boroughs-3_893/index.html
Camp Midnight,17.08,4,True,https://books.toscrape.com/camp-midnight_886/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,True,https://books.toscrape.com/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
A Fierce and Subtle Poison,28.13,4,True,https://books.toscrape.com/a-fierce-and-subtle-poison_875/index.html
You Are What You Love: The Spiritual Power of Habit,21.87,4,True,https://books.toscrape.com/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,True,https://books.toscrape.com/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
The Stranger,17.44,4,True,https://books.toscrape.com/the-stranger_861/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
Shakespeare's Sonnets,20.66,4,True,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,17.46,5,True,https://books.toscrape.com/catalogue/set-me-free_988/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,True,https://books.toscrape.com/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,True,https://books.toscrape.com/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True,https://books.toscrape.com/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Untitled Collection: Sabbath Poems 2014,14.27,4,True,https://books.toscrape.com/untitled-collection-sabbath-poems-2014_953/index.html
This One Summer,19.49,4,True,https://books.toscrape.com/this-one-summer_947/index.html
Thirst,17.27,5,True,https://books.toscrape.com/thirst_946/index.html
Modern Romance,28.26,5,True,https://books.toscrape.com/modern-romance_820/index.html
Frostbite (Vampire Academy #2),29.99,5,True,https://books.toscrape.com/frostbite-vampire-academy-2_810/index.html
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,True,https://books.toscrape.com/everyday-italian-125-simple-and-delicious-recipes_618/index.html
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,True,https://books.toscrape.com/the-sleep-revolution-transforming-your-life-one-night-at-a-time_608/index.html
All the Light We Cannot See,29.87,5,True,https://books.toscrape.com/all-the-light-we-cannot-see_660/index.html
Looking for Lovely: Collecting the Moments that Matter,29.14,5,True,https://books.toscrape.com/looking-for-lovely-collecting-the-moments-that-matter_710/index.html
Let It Out: A Journey Through Journaling,26.79,5,True,https://books.toscrape.com/let-it-out-a-journey-through-journaling_708/index.html
Lady Midnight (The Dark Artifices #1),16.28,5,True,https://books.toscrape.com/lady-midnight-the-dark-artifices-1_707/index.html
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,True,https://books.toscrape.com/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,True,https://books.toscrape.com/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html
The Marriage of Opposites,28.08,4,True,https://books.toscrape.com/the-marriage-of-opposites_759/index.html
The Epidemic (The Program 0.6),14.44,5,True,https://books.toscrape.com/the-epidemic-the-program-06_636/index.html
One with You (Crossfire #5),15.71,4,True,https://books.toscrape.com/one-with-you-crossfire-5_626/index.html
Old School (Diary of a Wimpy Kid #10),11.83,5,True,https://books.toscrape.com/old-school-diary-of-a-wimpy-kid-10_723/index.html
Walt Disney's Alice in Wonderland,12.96,5,True,https://books.toscrape.com/walt-disneys-alice-in-wonderland_777/index.html
The Time Keeper,27.88,5,True,https://books.toscrape.com/the-time-keeper_766/index.html
Dark Notes,19.19,5,True,https://books.toscrape.com/dark-notes_800/index.html
Batman: The Dark Knight Returns (Batman),15.38,5,True,https://books.toscrape.com/batman-the-dark-knight-returns-batman_792/index.html
Agnostic: A Spirited Manifesto,12.51,5,True,https://books.toscrape.com/agnostic-a-spirited-manifesto_786/index.html
Code Name Verity (Code Name Verity #1),22.13,4,True,https://books.toscrape.com/code-name-verity-code-name-verity-1_680/index.html
City of Fallen Angels (The Mortal Instruments #4),11.23,4,True,https://books.toscrape.com/city-of-fallen-angels-the-mortal-instruments-4_677/index.html
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,True,https://books.toscrape.com/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html
Eight Hundred Grapes,14.39,4,True,https://books.toscrape.com/eight-hundred-grapes_690/index.html
Dear Mr. Knightley,11.21,5,True,https://books.toscrape.com/dear-mr-knightley_684/index.html
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,True,https://books.toscrape.com/the-midnight-assassin-panic-scandal-and-the-hunt-for-americas-first-serial-killer_549/index.html
The Origin of Species,10.01,4,True,https://books.toscrape.com/the-origin-of-species_499/index.html
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,5,True,https://books.toscrape.com/team-of-rivals-the-political-genius-of-abraham-lincoln_488/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,True,https://books.toscrape.com/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
"Mother, Can You Not?",16.89,5,True,https://books.toscrape.com/mother-can-you-not_599/index.html
Keep Me Posted,20.46,4,True,https://books.toscrape.com/keep-me-posted_594/index.html
Born for This: How to Find the Work You Were Meant to Do,21.59,5,True,https://books.toscrape.com/born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html
Arena,21.36,4,True,https://books.toscrape.com/arena_587/index.html
Adultery,20.88,5,True,https://books.toscrape.com/adultery_586/index.html
A Gentleman's Position (Society of Gentlemen #3),14.75,5,True,https://books.toscrape.com/a-gentlemans-position-society-of-gentlemen-3_584/index.html
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,True,https://books.toscrape.com/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,True,https://books.toscrape.com/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
The Hobbit (Middle-Earth Universe),17.8,5,True,https://books.toscrape.com/the-hobbit-middle-earth-universe_447/index.html
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,True,https://books.toscrape.com/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,True,https://books.toscrape.com/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html
Life of Pi,13.22,4,True,https://books.toscrape.com/life-of-pi_475/index.html
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,True,https://books.toscrape.com/every-heart-a-doorway-every-heart-a-doorway-1_465/index.html
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,True,https://books.toscrape.com/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
Counted With the Stars (Out from Egypt #1),17.97,5,True,https://books.toscrape.com/counted-with-the-stars-out-from-egypt-1_463/index.html
Roller Girl,14.1,5,True,https://books.toscrape.com/roller-girl_540/index.html
Les Fleurs du Mal,29.04,5,True,https://books.toscrape.com/les-fleurs-du-mal_530/index.html
John Vassos: Industrial Design for Modern Life,20.22,4,True,https://books.toscrape.com/john-vassos-industrial-design-for-modern-life_526/index.html
Hystopia: A Novel,21.96,4,True,https://books.toscrape.com/hystopia-a-novel_523/index.html
History of Beauty,10.29,4,True,https://books.toscrape.com/history-of-beauty_521/index.html
Pride and Prejudice,19.27,4,True,https://books.toscrape.com/pride-and-prejudice_437/index.html
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,True,https://books.toscrape.com/fruits-basket-vol-6-fruits-basket-6_427/index.html
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,True,https://books.toscrape.com/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york_574/index.html
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,True,https://books.toscrape.com/nano-what-now-finding-your-editing-process-revising-your-nanowrimo-book-and-building-a-writing-career-through-publishing-and-beyond_566/index.html
The Secret Garden,15.08,4,True,https://books.toscrape.com/the-secret-garden_413/index.html
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,True,https://books.toscrape.com/the-power-greens-cookbook-140-delicious-superfood-recipes_410/index.html
Booked,17.49,5,True,https://books.toscrape.com/booked_365/index.html
An Abundance of Katherines,10.0,5,True,https://books.toscrape.com/an-abundance-of-katherines_362/index.html
The Darkest Corners,11.33,5,True,https://books.toscrape.com/the-darkest-corners_399/index.html
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4,True,https://books.toscrape.com/talking-to-girls-about-duran-duran-one-young-mans-quest-for-true-love-and-a-cooler-haircut_394/index.html
Shiver (The Wolves of Mercy Falls #1),16.23,5,True,https://books.toscrape.com/shiver-the-wolves-of-mercy-falls-1_392/index.html
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,5,True,https://books.toscrape.com/mexican-today-new-and-rediscovered-recipes-for-contemporary-kitchens_387/index.html
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,4,True,https://books.toscrape.com/lola-and-the-boy-next-door-anna-and-the-french-kiss-2_385/index.html
Kill the Boy Band,15.52,5,True,https://books.toscrape.com/kill-the-boy-band_381/index.html
Voyager (Outlander #3),21.07,5,True,https://books.toscrape.com/voyager-outlander-3_299/index.html
A Feast for Crows (A Song of Ice and Fire #4),17.21,4,True,https://books.toscrape.com/a-feast-for-crows-a-song-of-ice-and-fire-4_357/index.html
The Passion of Dolssa,28.32,5,True,https://books.toscrape.com/the-passion-of-dolssa_351/index.html
The Hunger Games (The Hunger Games #1),29.85,5,True,https://books.toscrape.com/the-hunger-games-the-hunger-games-1_349/index.html
The Gunning of America: Business and the Making of American Gun Culture,16.81,4,True,https://books.toscrape.com/the-gunning-of-america-business-and-the-making-of-american-gun-culture_347/index.html
Some Women,13.73,5,True,https://books.toscrape.com/some-women_341/index.html
Scarlet (The Lunar Chronicles #2),14.57,4,True,https://books.toscrape.com/scarlet-the-lunar-chronicles-2_218/index.html
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,True,https://books.toscrape.com/saga-volume-3-saga-collected-editions-3_216/index.html
Running with Scissors,12.91,4,True,https://books.toscrape.com/running-with-scissors_215/index.html
Ready Player One,19.07,4,True,https://books.toscrape.com/ready-player-one_209/index.html
"The Land of 10,000 Madonnas",29.64,4,True,https://books.toscrape.com/the-land-of-10000-madonnas_258/index.html
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,4,True,https://books.toscrape.com/the-end-of-faith-religion-terror-and-the-future-of-reason_246/index.html
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,True,https://books.toscrape.com/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html
The Day the Crayons Came Home (Crayons),26.33,5,True,https://books.toscrape.com/the-day-the-crayons-came-home-crayons_241/index.html
Outlander (Outlander #1),19.67,5,True,https://books.toscrape.com/outlander-outlander-1_338/index.html
No One Here Gets Out Alive,20.02,5,True,https://books.toscrape.com/no-one-here-gets-out-alive_336/index.html
Night Shift (Night Shift #1-20),12.75,4,True,https://books.toscrape.com/night-shift-night-shift-1-20_335/index.html
Mockingjay (The Hunger Games #3),20.44,4,True,https://books.toscrape.com/mockingjay-the-hunger-games-3_333/index.html
Little Women (Little Women #1),28.07,4,True,https://books.toscrape.com/little-women-little-women-1_331/index.html
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,4,True,https://books.toscrape.com/harry-potter-and-the-prisoner-of-azkaban-harry-potter-3_328/index.html
Atlas Shrugged,26.58,5,True,https://books.toscrape.com/atlas-shrugged_314/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,True,https://books.toscrape.com/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
The Silkworm (Cormoran Strike #2),23.05,5,True,https://books.toscrape.com/the-silkworm-cormoran-strike-2_280/index.html
The Nightingale,26.26,4,True,https://books.toscrape.com/the-nightingale_267/index.html
A Visit from the Goon Squad,14.08,5,True,https://books.toscrape.com/a-visit-from-the-goon-squad_117/index.html
New Moon (Twilight #2),12.86,4,True,https://books.toscrape.com/new-moon-twilight-2_105/index.html
Green Eggs and Ham (Beginner Books B-16),10.79,4,True,https://books.toscrape.com/green-eggs-and-ham-beginner-books-b-16_165/index.html
Gratitude,26.66,5,True,https://books.toscrape.com/gratitude_163/index.html
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,4,True,https://books.toscrape.com/fire-bound-sea-havensisters-of-the-heart-5_157/index.html
Fifty Shades Freed (Fifty Shades #3),15.36,5,True,https://books.toscrape.com/fifty-shades-freed-fifty-shades-3_156/index.html
Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,True,https://books.toscrape.com/disrupted-my-misadventure-in-the-start-up-bubble_148/index.html
Dark Places,23.9,5,True,https://books.toscrape.com/dark-places_144/index.html
Blink: The Power of Thinking Without Thinking,21.74,5,True,https://books.toscrape.com/blink-the-power-of-thinking-without-thinking_132/index.html
Between Shades of Gray,20.79,5,True,https://books.toscrape.com/between-shades-of-gray_128/index.html
Ash,22.06,4,True,https://books.toscrape.com/ash_123/index.html
A Spy's Devotion (The Regency Spies of London #1),16.97,5,True,https://books.toscrape.com/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
"1,000 Places to See Before You Die",26.08,5,True,https://books.toscrape.com/1000-places-to-see-before-you-die_1/index.html
Shadow Rites (Jane Yellowrock #10),21.72,4,True,https://books.toscrape.com/shadow-rites-jane-yellowrock-10_51/index.html
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,True,https://books.toscrape.com/fruits-basket-vol-2-fruits-basket-2_100/index.html
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,True,https://books.toscrape.com/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
The Silent Wife,12.34,5,True,https://books.toscrape.com/the-silent-wife_83/index.html
The Haters,27.89,5,True,https://books.toscrape.com/the-haters_67/index.html
The Girl You Lost,12.29,5,True,https://books.toscrape.com/the-girl-you-lost_66/index.html
Lost Among the Living,27.7,4,True,https://books.toscrape.com/lost-among-the-living_31/index.html
